program_name,description,is_graduate_program,area_of_study,credit_requirement,is_stem
Bachelor of Science in Business Administration in Accounting,Why Major in Accounting?,False,,180.0,False,https://catalog.drexel.edu/undergraduate/collegeofbusiness/accounting/,Quarter
Bachelor of Science in Animation & Visual Effects,"The Animation & Visual Effects major provides students with the artistic, technological, story-telling, and design skills necessary to succeed as 3D animators and visual effects artists in the highly competitive entertainment, design, and communications industries.",False,,187.0,True,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/animationandvisualeffects/,Quarter
Bachelor of Science in Architectural Engineering in Architectural Engineering,"The architectural engineering major prepares graduates for professional work in the analysis, design, construction, and operation of residential, commercial, institutional, and industrial buildings. The program develops engineers familiar with all aspects of safe and economical construction. Students study the principles of structural support and external cladding, building environmental systems, and project management and develop depth in at least one area.",False,,190.0,False,https://catalog.drexel.edu/undergraduate/collegeofengineering/architecturalengineering/,Quarter
Bachelor of Science in Architectural Studies,"The Bachelor of Science in Architectural Studies degree offers an introduction to architecture while affording students the flexibility to customize their studies based on their interest in the realm of design and the built environment. The program encompasses foundation courses in the applied and social sciences, the humanities, and a range of architecture courses to give students an understanding of the discipline. At the heart of the curriculum are the introductory-level design studios where students are challenged to apply their knowledge acquired from the above disciplines to consequential design problems.",False,,181.0,True,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/architecturalstudiesbs/,Quarter
Bachelor of Architecture in Architecture,"The practice of architecture requires a unique skillset—creative thinking and aesthetic sensitivity balanced with technical knowledge, cultural understanding, and social responsibility. Critical thinking and communication skills are needed. Drexel’s Bachelor of Architecture program encompasses foundation courses in the applied and social sciences, the humanities, and a wide range of professional architecture courses to prepare students for careers in architecture and related fields. At the heart of the curriculum are the design studios where students are challenged to apply their knowledge acquired from the above disciplines to consequential design problems.",False,,227.0,False,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/architecture/,Quarter
Bachelor of Arts in Art History,"The history of art explores the meanings, values, and purposes of the visual arts within the historical cultures that create them. Works of fine and applied arts are understood not merely as aesthetic forms, but as expressions of the social, economic, scientific, religious, and political contexts that gave rise to them. The study of art history thus effectively serves the high purposes of a liberal education by equipping students with an understanding of world cultures and their histories from multiple disciplinary perspectives, and by encouraging the development of critical thinking, reading, research, and writing skills.  ",False,,181.0,False,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/arthistory/,Quarter
Bachelor of Science in Art History,"The history of art explores the meanings, values, and purposes of the visual arts within the historical cultures that create them. Works of fine and applied arts are understood not merely as aesthetic forms, but as expressions of the social, economic, scientific, religious, and political contexts that gave rise to them. The study of art history thus effectively serves the high purposes of a liberal education by equipping students with an understanding of world cultures and their histories from multiple disciplinary perspectives, and by encouraging the development of critical thinking, reading, research, and writing skills.  ",False,,181.0,True,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/arthistorybs/,Quarter
"Bachelor of Science in Behavioral Economics, Business and Organizations","The combined major in Behavioral Economics, Business, and Organizations integrates economic modelling with insights from behavioral sciences to analyze and predict human behavior in economic contexts and organizations. The program combines interdisciplinary coursework in economics, psychology, consumer behavior, and organizational behavior with comprehensive training in quantitative and research methods. Students will learn how to model behavior, collect and analyze choice data, conduct experiments, and design interventions to shape individual decisions and organizational outcomes.",False,,180.0,True,https://catalog.drexel.edu/undergraduate/schoolofeconomics/behavioraleconomicsbusinessandorganizations/,Quarter
Bachelor of Science in Behavioral Health Counseling,"Students apply their knowledge and practice the skills learned during the program via community-based learning and using Drexel University's state of the art Center for Inter-professional Clinical Simulation and Practice. Students then select from a broad variety of electives based on their career interests. Diversity, equity, inclusion, and social justice principles are incorporated across the rigorous curriculum. The major also offers a co-op experience in a clinical setting that greatly enhances the student’s preparation for employment after graduation and for graduate study.",False,,181.0,True,https://catalog.drexel.edu/undergraduate/collegeofnursingandhealthprofessions/behavorialhealthcounseling/,Quarter
Bachelor of Science in Biological Sciences,"The biological sciences major resides in the Department of Biology. Students earn a bachelor's degree in the biological sciences and are prepared for technical careers in research or commercial laboratories, or for professional schools or graduate study.",False,,183.5,True,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/biologicalsciences/,Quarter
Bachelor of Science in Biomedical Engineering in Biomedical Engineering,"Biomedical Engineering is an innovative multidisciplinary Bachelor of Science degree program. It prepares students to conceive, design, and develop devices and systems that improve human health and quality of life. Biomedical engineering is the convergence of life sciences with engineering. From child car seats and football helmets to drug-delivery systems, minimally invasive surgery, and noninvasive imaging technology, the work of the biomedical engineer makes a difference in everyone’s life.",False,,187.5,False,https://catalog.drexel.edu/undergraduate/schoolofbioengscienceandhealthsystems/biomedicalengineering/,Quarter
Bachelor of Science in Business Administration in Business (General),"The major in general business equips students with a thorough understanding of theory and practice in the fundamental areas of business such as accounting, economics, finance, management, and marketing. This major is intended for business students who wish to gain breadth within their undergraduate studies. Students will develop the skills and competencies necessary for success across a diverse spectrum of business organizations. ",False,,180.0,False,https://catalog.drexel.edu/undergraduate/collegeofbusiness/generalbusiness/,Quarter
Bachelor of Science in Business and Engineering in Business and Engineering,"The major in Business and Engineering combines two of Drexel's most exciting programs, linking business and engineering to provide students with expertise in both fields.",False,,184.0,False,https://catalog.drexel.edu/undergraduate/collegeofbusiness/businessandengineering/,ter
Bachelor of Science in Business Administration in Business Analytics (co-major),The Business Analytics program is a co-major; students are required to choose a major in one of the functional areas of business alongside a co-major,False,,186.0,False,https://catalog.drexel.edu/undergraduate/collegeofbusiness/businessanalytics/,Quarter
Bachelor of Science in Business Administration in Business Administration,"The major in general business equips students with a thorough understanding of theory and practice in the fundamental areas of business such as accounting, economics, finance, management, and marketing. This major is intended for business students who wish to gain breadth within their undergraduate studies. Students will develop the skills and competencies necessary for success across a diverse spectrum of business organizations. ",False,,180.0,False,https://catalog.drexel.edu/undergraduate/collegeofbusiness/generalbusiness/,Quarter
Bachelor of Science in Business Administration in Business Economics (co-major),The Business Economics program is a co-major; students are required to choose a primary major in one of the functional areas of business alongside this co-major,False,,186.0,False,https://catalog.drexel.edu/undergraduate/schoolofeconomics/businesseconomics/index.html,Quarter
Bachelor of Science in Chemical Engineering in Chemical Engineering,"The department of Chemical and Biological Engineering offers a rigorous curriculum grounded in the fundamental physical sciences, integrating practical engineering design and modern computational techniques throughout, and including expansive opportunities to explore the humanities. An extensive, hands-on laboratory experience rounds out a dynamic program that prepares our graduates for rewarding careers in chemical engineering as well as other quantitative disciplines.",False,,181.5,False,https://catalog.drexel.edu/undergraduate/collegeofengineering/chemicalengineering/,Quarter
Bachelor of Arts in Chemistry,"The BA in Chemistry is designed for students who want a foundational education in chemistry and the flexibility to select courses in other fields. The Bachelor of Arts in Chemistry program is less demanding mathematically compared to the Bachelor of Science, and is well suited for those interested in entering medical school and other chemistry-related fields, as well as those aspiring to careers in biotechnology, forensic chemistry, and environmental chemistry. The BA in Chemistry is also well suited for students who are interested in double majoring. BA in Chemistry graduates might opt to work as laboratory technicians in the pharmaceutical industry, as research assistants in medical school science departments, such as toxicology or biochemistry, or as technicians in biotechnology and forensic firms.",False,,184.0,False,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/chemistry/,Quarter
Bachelor of Science in Chemistry,"The Bachelor of Science in Chemistry is certified by the American Chemical Society. The chemistry BS program provides a complete introduction to the many subfields of chemistry, along with significant hands-on laboratory research experience. All students are required to earn at least 9.0 credits of undergraduate research experience prior to graduation.",False,,189.0,True,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/chemistrybs/,Quarter
Bachelor of Science in Chemistry-Biochemistry Concentration,,False,,189.0,True,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/chemistrybs/#biochemistryconcentrationrequirementstext,Quarter
Bachelor of Science in Civil Engineering in Civil Engineering,"The civil engineering major prepares students in the fundamental principles necessary to practice this profession in any of its branches, including construction management, water resources, structural, transportation, environmental, geotechnical, and public facilities engineering.",False,,189.5,False,https://catalog.drexel.edu/undergraduate/collegeofengineering/civilengineering/,Quarter
